dataset_size,num_chunks,classical_retrieval_time,classical_similarity,classical_bleu,quantum_retrieval_time,quantum_similarity,quantum_bleu,quantum_advantage_similarity,quantum_advantage_bleu
5,12,0.014620113372802734,0.4097464292069466,0.0,0.011634540557861329,0.42556863535119904,0.0,0.01582220614425245,0.0
10,23,0.008181262016296386,0.41714362253768594,0.0,0.01196291446685791,0.4321666877352258,0.0,0.015023065197539875,0.0
15,34,0.005645918846130371,0.4348806651338486,0.0,0.008699512481689453,0.5442376878597992,0.0,0.1093570227259506,0.0
20,52,0.006006598472595215,0.4627267265779433,0.0,0.009212017059326172,0.5634481232373207,0.0,0.10072139665937746,0.0
25,76,0.008272457122802734,0.4701847019001596,0.0,0.01238236427307129,0.70174620962134,0.0,0.23156150772118045,0.0
30,93,0.007129120826721192,0.4828018659324734,0.0,0.010593605041503907,0.705292550720438,0.0,0.22249068478796458,0.0
40,135,0.007743954658508301,0.49173874090901915,0.0,0.011350655555725097,0.7096361492428201,0.0,0.217897408333801,0.0
50,166,0.008390593528747558,0.501650368995693,0.0,0.012542176246643066,0.7138553132347558,0.0,0.21220494423906278,0.0
60,212,0.007691764831542968,0.5049503022002816,0.0,0.011469578742980957,0.7157312358588792,0.0,0.21078093365859762,0.0
75,259,0.008672094345092774,0.5085569055489864,0.0,0.012709593772888184,0.7181580671982882,0.0,0.20960116164930187,0.0
90,311,0.009125685691833496,0.5156256979381288,0.0,0.013297605514526366,0.7221967001935065,0.0,0.2065710022553776,0.0
92,320,0.008658242225646973,0.5156256979381288,0.0,0.01288619041442871,0.7221967001935065,0.0,0.2065710022553776,0.0
